antecedentes,consequências,confiança,lift,convicção
"Simples,Abril",Masculino,0.8430296377607026,1.0123028120520279,1.0652708290062098
"Sábado,Abril",Masculino,0.8534201954397393,1.0247797052549965,1.1407843557556183
"adulto entre 35 e 53 anos,Abril",Masculino,0.8620470438652257,1.0351387514013022,1.212122977261164
"jovem adulto entre 18 e 35 anos,Abril",Masculino,0.8144186046511629,0.9779469270686317,0.9010383158168727
"Colisão Lateral,Agosto",Condutor,0.9287598944591029,1.035998965906926,1.453011892162247
"Colisão Lateral,Agosto",Masculino,0.8298153034300791,0.9964351518855143,0.9825557249406398
"Colisão Transversal,Agosto",Condutor,0.9009584664536742,1.0049874516972883,1.0451445655513794
"Colisão Transversal,Agosto",Masculino,0.8274760383386582,0.9936261822786204,0.9692331795643564
"Agosto,Colisão Traseira",Condutor,0.9645877378435518,1.0759636639073507,2.923075631048565
"Agosto,Colisão Traseira",Masculino,0.8382663847780127,1.0065831384214539,1.0338972988549682
"Agosto,Não Guardar Distância De Segurança",Colisão Traseira,0.8577827547592385,1.8777487877146413,3.819407149686048
"Agosto,Com Vítimas Feridas",Condutor,0.8033602986932171,0.8961201314378039,0.5264080440618861
"Agosto,Com Vítimas Feridas",Masculino,0.8145612943372744,0.9781182676289532,0.9017316385727606
"Dupla,Agosto",Condutor,0.9256756756756757,1.0325586284318435,1.392716603761175
"Falta De Atenção,Agosto",Condutor,0.924095771777891,1.03079630125331,1.3637279895254435
"Masculino,Agosto",Condutor,0.9476624522199353,1.0570841036374081,1.9777908010670096
"Agosto,Condutor",Masculino,0.8720238095238095,1.04711876666885,1.3066176394988984
"Agosto,Não Guardar Distância De Segurança",Condutor,0.9686450167973124,1.0804894157465168,3.3013164089638067
"Agosto,Quarta-feira",Condutor,0.9441340782122905,1.0531483266458943,1.852877697841724
"Agosto,Segunda-feira",Condutor,0.9229534510433387,1.0295220826885436,1.3435088521361678
"Agosto,Sem Vítimas",Condutor,0.9918941979522184,1.1064230588531594,12.770200893093252
"Agosto,Sexta-feira",Condutor,0.9476584022038568,1.0570795859870508,1.9776377662938747
"Simples,Agosto",Condutor,0.8705501618122977,0.971068058373575,0.7996357662473369
"Sábado,Agosto",Condutor,0.8807947019867549,0.9824954822860931,0.8683567112790207
"adulto entre 35 e 53 anos,Agosto",Condutor,0.9388888888888889,1.0472975026089728,1.6938445180879158
"jovem adulto entre 18 e 35 anos,Agosto",Condutor,0.9127098321342926,1.0180956864151591,1.185846276628399
