id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,idade,sexo
603485,30/10/2009,RN,406,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,29.0,Feminino
603485,30/10/2009,RN,406,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,41.0,Masculino
603536,22/10/2009,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,21.0,Masculino
603536,22/10/2009,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,28.0,Masculino
603542,26/10/2009,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Múltipla,Urbano,44.0,Masculino
603542,26/10/2009,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Múltipla,Urbano,24.0,Masculino
603542,26/10/2009,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Múltipla,Urbano,-1.0,Inválido
603564,27/10/2009,RN,101,PARNAMIRIM,Outras,Colisão Transversal,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,33.0,Masculino
603564,27/10/2009,RN,101,PARNAMIRIM,Outras,Colisão Transversal,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,37.0,Masculino
603573,30/10/2009,RN,101,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,63.0,Masculino
603573,30/10/2009,RN,101,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,33.0,Masculino
603727,27/10/2009,RN,405,APODI,Outras,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,55.0,Masculino
603727,27/10/2009,RN,405,APODI,Outras,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,-1.0,Inválido
603743,25/10/2009,RN,304,MOSSORO,Animais na Pista,Atropelamento de animal,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,37.0,Feminino
603743,25/10/2009,RN,304,MOSSORO,Animais na Pista,Atropelamento de animal,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,40.0,Masculino
603999,30/10/2009,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,40.0,Masculino
603999,30/10/2009,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,31.0,Masculino
604017,27/10/2009,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,23.0,Feminino
604017,27/10/2009,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,28.0,Masculino
604043,31/10/2009,RN,406,TAIPU,Animais na Pista,Atropelamento de animal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,29.0,Masculino
