id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_veiculo,estado_fisico,idade,sexo
1128958,25/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,Caminhão,Ileso       ,46.0,Masculino
1129043,19/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Capotamento,Sem Vítimas        ,Pleno dia,Nublado,Múltipla,Urbano,Caminhonete,Ileso       ,31.0,Masculino
1129063,23/06/2012,RN,226,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,25.0,Feminino
1129063,23/06/2012,RN,226,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,45.0,Masculino
1129102,23/06/2012,RN,226,TANGARA,Outras,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Urbano,Motocicletas,Morto       ,72.0,Masculino
1129102,23/06/2012,RN,226,TANGARA,Outras,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Urbano,Motocicletas,Ferido Grave,-1.0,Masculino
1129102,23/06/2012,RN,226,TANGARA,Outras,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Urbano,Camioneta,Ignorado    ,-1.0,Inválido
1129113,25/06/2012,RN,101,MACAIBA,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,29.0,Masculino
1129113,25/06/2012,RN,101,MACAIBA,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,38.0,Masculino
1129119,25/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,46.0,Feminino
1129119,25/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,-1.0,Masculino
1129131,25/06/2012,RN,101,SAO JOSE DE MIPIBU,Outras,Capotamento,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Rural ,Caminhonete,Ileso       ,44.0,Masculino
1129155,21/06/2012,RN,304,MACAIBA,Outras,Atropelamento de pessoa,Com Vítimas Fatais ,Plena noite,Ceu Claro,Dupla   ,Rural ,Motocicletas,Ferido Grave,29.0,Masculino
1129155,21/06/2012,RN,304,MACAIBA,Outras,Atropelamento de pessoa,Com Vítimas Fatais ,Plena noite,Ceu Claro,Dupla   ,Rural ,(null),Morto       ,-1.0,Masculino
1129338,18/06/2012,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,25.0,Feminino
1129338,18/06/2012,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,54.0,Masculino
1129623,26/06/2012,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,38.0,Feminino
1129623,26/06/2012,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Ônibus,Ileso       ,47.0,Masculino
1129650,26/06/2012,RN,101,GOIANINHA,Desobediência à sinalização,Colisão frontal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Motocicletas,Ferido Leve ,26.0,Masculino
1129650,26/06/2012,RN,101,GOIANINHA,Desobediência à sinalização,Colisão frontal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Ciclomotor,Ferido Leve ,43.0,Masculino
1129688,22/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,Automóvel,Ileso       ,32.0,Masculino
1129688,22/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,Automóvel,Ileso       ,30.0,Feminino
1129769,26/06/2012,RN,406,MACAU,Outras,Colisão frontal,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Simples ,Rural ,Motocicletas,Morto       ,30.0,Masculino
