id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_envolvido,idade,sexo
83124160,02/01/2014,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,Condutor,42.0,Masculino
83124160,02/01/2014,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,Condutor,23.0,Feminino
83124176,02/01/2014,RN,226,MACAIBA,Outras,Colisão Transversal,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,59.0,Feminino
83124176,02/01/2014,RN,226,MACAIBA,Outras,Colisão Transversal,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,43.0,Masculino
83124186,02/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Condutor,-1.0,Masculino
83124186,02/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Condutor,-1.0,Masculino
83124191,01/01/2014,RN,405,PAU DOS FERROS,Ingestão de álcool,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,22.0,Masculino
83124191,01/01/2014,RN,405,PAU DOS FERROS,Ingestão de álcool,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,24.0,Masculino
83124191,01/01/2014,RN,405,PAU DOS FERROS,Ingestão de álcool,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,36.0,Masculino
83124191,01/01/2014,RN,405,PAU DOS FERROS,Ingestão de álcool,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Passageiro,-1.0,Feminino
83124191,01/01/2014,RN,405,PAU DOS FERROS,Ingestão de álcool,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Passageiro,31.0,Feminino
83124216,02/01/2014,RN,101,NATAL,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Vento,Dupla   ,Urbano,Condutor,30.0,Masculino
83124216,02/01/2014,RN,101,NATAL,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Vento,Dupla   ,Urbano,Pedestre,-1.0,Masculino
83124376,03/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,31.0,Masculino
83124376,03/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,46.0,Masculino
83124516,03/01/2014,RN,304,MACAIBA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,24.0,Masculino
83124516,03/01/2014,RN,304,MACAIBA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,25.0,Masculino
83124591,03/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,64.0,Masculino
83124591,03/01/2014,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,30.0,Masculino
83124629,03/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Condutor,32.0,Masculino
83124629,03/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Condutor,37.0,Feminino
83124629,03/01/2014,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Condutor,29.0,Masculino
83124670,03/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Nublado,Simples ,Urbano,Condutor,37.0,Masculino
83124670,03/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Nublado,Simples ,Urbano,Condutor,30.0,Masculino
83124727,03/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,51.0,Masculino
83124727,03/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,62.0,Masculino
83124727,03/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Condutor,46.0,Masculino
83124777,02/01/2014,RN,101,BAIA FORMOSA,Outras,Capotamento,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Rural ,Condutor,23.0,Feminino
