id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
83481787,07/07/16,Quinta,08:25:00,RN,110,45,MOSSORO,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,1,0,0,1,0,0,1,1
83481803,15/07/16,Sexta,14:55:00,RN,101,"106,5",PARNAMIRIM,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2,0,1,0,1,0,1,2
83481863,15/07/16,Sexta,18:10:00,RN,304,"101,8",ASSU,Animais na Pista,Capotamento,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,1,0,1,0,0,0,1,1
83481923,12/07/16,Terça,05:40:00,RN,427,"14,2",ACARI,Outras,Colisão traseira,Com Vítimas Fatais,Amanhecer,Crescente,Ceu Claro,Simples,Reta,Rural,2,1,0,0,0,1,0,2
83481979,11/07/16,Segunda,11:45:00,RN,427,"100,1",CAICO,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2,0,0,0,2,0,0,2
83482006,13/07/16,Quarta,06:40:00,RN,101,85,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,1,1,0,1,2
83482069,16/07/16,Sábado,08:00:00,RN,101,"97,8",NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,4,0,0,0,4,0,0,4
83482074,15/07/16,Sexta,05:30:00,RN,110,"45,5",MOSSORO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Amanhecer,Decrescente,Sol,Simples,Reta,Urbano,3,0,1,0,0,2,1,2
83482265,17/07/16,Domingo,02:00:00,RN,101,85,NATAL,Outras,Colisão com objeto fixo,Ignorado,Plena noite,Crescente,Ceu Claro,Simples,Curva,Urbano,1,0,0,0,0,1,0,1
83482280,17/07/16,Domingo,03:00:00,RN,101,"96,4",NATAL,Falta de atenção,Colisão lateral,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2,0,0,0,2,0,0,2
