id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
264509,10/08/2007,Sexta,14:50:00,RN,101,80.6,NATAL,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Cruzamento,Urbano,2007,2,0,1,0,1,0,1,2
264539,10/08/2007,Sexta,13:50:00,RN,304,150.6,ANGICOS,Velocidade incompatível,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Curva,Rural,2007,1,0,0,1,0,0,1,1
264540,07/08/2007,Terça,06:15:00,RN,101,102.8,PARNAMIRIM,Outras,Colisão Transversal,Com Vítimas Feridas,Amanhecer,Decrescente,Sol,Dupla,Reta,Urbano,2007,3,0,2,0,1,0,2,2
264750,07/08/2007,Terça,18:30:00,RN,101,100.8,PARNAMIRIM,Outras,Colisão traseira,Sem Vítimas,Anoitecer,Crescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
264762,09/08/2007,Quinta,16:40:00,RN,405,0.4,MOSSORO,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,0,2,0,0,2
264776,10/08/2007,Sexta,19:00:00,RN,101,97,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Nublado,Dupla,Reta,Urbano,2007,4,0,0,0,4,0,0,4
264813,05/08/2007,Domingo,22:00:00,RN,304,39,MOSSORO,Ingestão de álcool,Colisão traseira,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2007,3,0,2,0,1,0,2,2
264826,11/08/2007,Sábado,08:30:00,RN,405,84.9,APODI,Ultrapassagem indevida,Saída de Pista,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Curva,Rural,2007,3,0,0,0,3,0,0,3
264948,11/08/2007,Sábado,12:00:00,RN,101,84.5,NATAL,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Curva,Urbano,2007,2,0,1,0,1,0,1,2
265023,11/08/2007,Sábado,18:00:00,RN,304,15.3,MOSSORO,Desobediência à sinalização,Colisão frontal,Com Vítimas Feridas,Anoitecer,Crescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,1,1,0,0,2,2
